stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2499,2254,General Meyer at Woodland,GENERAL MEYER AVE & BEDFORD DR,29.92729,-89.992783,,,,,,0
2500,2255,General Meyer at Westchester,GENERAL MEYER AVE & WOODLAND DR,29.926522,-89.991048,,,,,,0
2501,2256,General Meyer at Aurora,GENERAL MEYER AVE & AURORA DR,29.925209,-89.988107,,,,,,0
2502,2257,General Meyer at Sullen,GENERAL MEYER AVE & SULLEN PL,29.923823,-89.985229,,,,,,0
2503,2503,General Meyer at Carver,GENERAL MEYER AVE & CARVER ST,29.922904,-89.983078,,,,,,0
2504,2504,General Meyer at Mansfield,MANSFIELD AVE & GENERAL MEYER AVE,29.921974,-89.981062,,,,,,0
2505,2505,General Meyer at Pittari,GENERAL MEYER AVE & BLAIR ST,29.921278,-89.9794,,,,,,0
2508,2508,Pace at Socrates,PACE BLVD & LAMARQUE ST,29.940286,-90.027501,,,,,,0
2509,2509,Pace at Lawrence,LAWRENCE ST & PACE BLVD,29.938293,-90.027687,,,,,,0
2510,2510,Pace at Magellan,PACE BLVD & LAWRENCE ST,29.936751,-90.027802,,,,,,0
2511,2511,Pace at Wall,PACE BLVD & WALL BLVD,29.933714,-90.027764,,,,,,0
2512,2512,Pace at Vespasian,PACE BLVD & WALL BLVD,29.931903,-90.027577,,,,,,0
2514,2514,General DeGaulle at Life Center,,29.928473,-90.02875,,,,,,0
2515,2515,Pace at Life Center,,29.929325,-90.027718,,,,,,0
2520,2520,Vespasian at Pace,VESPASIAN BLVD,29.931038,-90.027562,,,,,,0
2521,2038,Wall at Pace,WALL BLVD & PACE BLVD,29.933328,-90.027378,,,,,,0
2522,2093,Pace at Magellan,PACE BLVD & LAWRENCE ST,29.936355,-90.027634,,,,,,0
2523,2094,Pace at Lawrence,LAWRENCE ST & ELIZARDI BLVD,29.93815,-90.027458,,,,,,0
2524,2095,Pace at Socrates,PACE BLVD & SOCRATES ST,29.940187,-90.027387,,,,,,0
2531,2531,Woodland at Maple Leaf,MAPLE LEAF DR & WOODLAND DR,29.910092,-89.993075,,,,,,0
2532,2532,Woodland at Stratford,STRATFORD PL & WOODLAND DR,29.912499,-89.992963,,,,,,0
2533,2533,Woodland at Maumus,WOODLAND DR & MAUMUS AVE,29.914139,-89.992982,,,,,,0
2534,2534,Woodland at Brunswick,BRUNSWICK CT & WORCHESTER PL,29.915068,-89.992894,,,,,,0
2535,2535,Woodland at Fairfax,FAIRFAX PL & WOODLAND DR,29.916005,-89.992826,,,,,,0
2536,2536,Woodland at Berkley,BERKLEY DR & WORCHESTER PL,29.917944,-89.992712,,,,,,0
2543,2543,MacArthur at Rue Parc Fontaine,MACARTHUR BLVD & RUE PARC FONTAINE,29.924247,-90.009601,,,,,,0
2549,VpPa(I),Vespasian at Pace,,29.930984,-90.027582,,,,,,0
2558,2558,MacArthur at Rue Parc Fontaine,MACARTHUR BLVD & RUE PARC FONTAINE,29.92393,-90.009848,,,,,,0
